Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GradeClass
-0.4075341020133893,1,2,1,0.7739791874158017,0.29213158613066326,0,4,0,1,0,0,3.0
-1.2970165215290606,0,2,0,-1.110618114244554,-1.125293340232703,0,0,0,0,0,0,2.0
-0.4075341020133893,1,0,1,-0.7450419093333509,-1.5977683156871583,0,2,0,0,0,0,2.0
0.4819483175022818,1,2,3,-1.5166347211093376,-1.5977683156871583,0,2,1,0,0,0,2.0
-0.4075341020133893,1,0,3,-1.3455407333705676,0.29213158613066326,0,3,0,0,0,0,4.0
0.4819483175022818,0,0,3,-1.3597879904724368,1.5914377686304155,0,4,1,0,0,1,3.0
1.371430737017953,1,1,0,-1.5633555226970959,1.0008440493123463,0,0,1,0,0,0,4.0
-0.4075341020133893,1,3,3,1.6224879566780301,-0.8890558525054751,0,4,0,1,1,0,1.0
-0.4075341020133893,1,2,1,-1.356958056619801,1.237081537039574,0,2,1,1,0,0,4.0
-1.2970165215290606,0,0,1,1.6170651755176353,-0.5346996209146336,0,2,0,1,1,0,2.0
-1.2970165215290606,1,2,2,0.3943495523666473,-0.6528183647782475,0,2,0,0,0,0,0.0
0.4819483175022818,0,1,3,0.7871639943713397,-1.3615308279599305,0,2,1,0,0,0,2.0
0.4819483175022818,0,0,1,0.4843372785721216,0.7646065615851186,0,1,0,0,0,0,0.0
-0.4075341020133893,0,1,2,0.7108442042892381,1.237081537039574,0,0,1,0,0,0,4.0
0.4819483175022818,0,2,3,-1.153718219744157,1.4733190247668018,1,3,1,0,0,0,4.0
0.4819483175022818,1,0,2,-0.07944854201860617,0.05589409840343559,0,2,1,1,0,1,4.0
-1.2970165215290606,1,0,1,-0.9910590136462107,0.6464878177215048,1,3,0,0,0,0,4.0
-1.2970165215290606,0,0,0,-0.6526890740341823,0.8827253054487325,0,3,0,0,0,0,1.0
-0.4075341020133893,0,0,3,1.4861808453427194,0.05589409840343559,0,3,0,1,0,0,3.0
1.371430737017953,1,0,2,0.1979959930260043,-1.125293340232703,0,4,0,0,0,0,2.0
0.4819483175022818,0,2,2,0.7566756325542369,-0.8890558525054751,0,0,0,0,0,0,4.0
-1.2970165215290606,1,0,2,-0.8059023741475124,0.528369073857891,0,2,0,0,1,0,4.0
0.4819483175022818,0,0,3,-0.2707180347124242,1.5914377686304155,1,3,0,0,0,0,4.0
1.371430737017953,0,2,0,-1.5226946395459129,1.4733190247668018,0,0,0,1,1,0,4.0
-0.4075341020133893,1,0,1,1.3401488142385354,-0.29846213318740594,0,3,1,0,1,0,2.0
1.371430737017953,1,0,3,-0.8312992451676334,-1.3615308279599305,0,3,0,0,0,0,2.0
-1.2970165215290606,0,0,0,1.0180365070642632,-0.8890558525054751,1,3,0,1,0,0,1.0
0.4819483175022818,1,0,3,1.7670947121576828,-1.5977683156871583,0,1,1,1,0,0,0.0
-0.4075341020133893,1,0,2,-0.5132630445471369,0.6464878177215048,0,2,0,0,0,1,2.0
1.371430737017953,1,3,2,0.7665135152559235,-0.4165808770510198,0,3,0,0,0,1,3.0
1.371430737017953,0,2,2,-0.8450308656593108,-0.8890558525054751,1,2,1,1,0,0,3.0
-0.4075341020133893,0,0,3,0.34098601649158805,1.4733190247668018,0,1,1,0,0,0,4.0
-1.2970165215290606,0,0,2,0.5157408582711195,-0.8890558525054751,1,3,0,1,0,0,1.0
1.371430737017953,1,1,2,1.048926342108931,-1.5977683156871583,1,4,0,1,0,0,0.0
0.4819483175022818,0,1,0,0.10706122749569463,1.1189627931759603,0,2,0,0,0,0,4.0
-0.4075341020133893,1,0,2,0.6771649114544406,-1.3615308279599305,0,2,0,0,0,0,2.0
0.4819483175022818,0,0,2,-1.0355098201431436,0.17401284226704944,0,3,1,0,1,0,4.0
-1.2970165215290606,1,0,2,-1.6658151830738395,-0.6528183647782475,0,0,1,0,0,0,4.0
0.4819483175022818,0,3,2,0.3985060310054269,-1.5977683156871583,0,2,0,0,0,0,2.0
-0.4075341020133893,0,0,3,-0.9546349673829218,1.0008440493123463,0,0,0,0,0,0,4.0
0.4819483175022818,1,1,3,1.7382019628523562,0.17401284226704944,0,2,1,0,0,1,4.0
-0.4075341020133893,1,0,2,1.4247993872947935,-0.1803433893237921,0,2,0,0,0,1,1.0
-0.4075341020133893,1,0,2,-0.20950168051636564,0.17401284226704944,1,2,0,0,0,1,4.0
-0.4075341020133893,1,2,3,1.6814173550596223,1.7095565124940295,0,3,0,0,0,1,4.0
1.371430737017953,0,0,2,0.5513722096526006,0.528369073857891,1,1,1,0,0,0,4.0
-1.2970165215290606,1,0,1,-0.2168885970370891,1.237081537039574,1,4,1,0,0,0,4.0
-0.4075341020133893,0,1,0,-0.1669911821810257,0.17401284226704944,1,2,0,1,0,0,4.0
-0.4075341020133893,0,1,1,0.8663307806170478,-0.8890558525054751,0,3,1,0,0,0,2.0
0.4819483175022818,1,1,1,1.45968235932237,-0.29846213318740594,0,2,0,0,0,0,3.0
0.4819483175022818,1,0,0,-0.5860584221426206,-1.007174596369089,1,2,1,0,1,0,1.0
-1.2970165215290606,0,0,1,0.4342779463424455,-0.1803433893237921,1,2,0,0,0,0,3.0
1.371430737017953,1,0,1,-1.3009503536736813,-1.007174596369089,0,2,0,0,0,0,3.0
-1.2970165215290606,1,1,1,0.18370762040110677,1.7095565124940295,0,1,0,0,0,0,4.0
1.371430737017953,1,2,2,-0.6246168623182987,0.528369073857891,0,2,0,0,1,0,4.0
-0.4075341020133893,1,0,3,-1.2494500636043973,-1.4796495718235445,0,3,0,0,0,1,2.0
-1.2970165215290606,1,0,2,-0.8584609429073785,0.7646065615851186,0,2,0,0,0,0,4.0
1.371430737017953,1,0,1,-0.7109360973624064,-0.4165808770510198,1,4,1,0,0,0,3.0
-0.4075341020133893,0,1,2,-0.27409332836231537,-0.29846213318740594,0,2,0,0,0,0,4.0
1.371430737017953,1,2,2,0.17043403038905694,-1.2434120840963168,0,2,1,0,0,0,1.0
-0.4075341020133893,1,1,3,-0.7440129085314073,-1.5977683156871583,0,3,1,0,0,0,0.0
